0,"[0, 5]"
1,"[0, 1]"
2,"[4, 5]"
3,"[1, 2]"
4,"[3, 4]"
5,"[2, 3]"
6,"[72, 1]"
7,"[72, 73]"
8,"[73, 74]"
9,"[2, 75]"
10,"[74, 75]"
11,"[73, 108]"
12,"[108, 109]"
13,"[109, 110]"
14,"[74, 111]"
15,"[110, 111]"
16,"[144, 109]"
17,"[144, 145]"
18,"[145, 146]"
19,"[147, 110]"
20,"[146, 147]"
21,"[145, 180]"
22,"[180, 181]"
23,"[181, 182]"
24,"[146, 183]"
25,"[182, 183]"
26,"[216, 181]"
27,"[216, 217]"
28,"[217, 218]"
29,"[219, 182]"
30,"[218, 219]"
31,"[217, 252]"
32,"[252, 253]"
33,"[253, 254]"
34,"[218, 255]"
35,"[254, 255]"
36,"[288, 253]"
37,"[288, 289]"
38,"[289, 290]"
39,"[291, 254]"
40,"[290, 291]"
41,"[289, 324]"
42,"[324, 325]"
43,"[325, 326]"
44,"[290, 327]"
45,"[326, 327]"
46,"[360, 325]"
47,"[360, 361]"
48,"[361, 362]"
49,"[363, 326]"
50,"[362, 363]"
51,"[361, 396]"
52,"[396, 397]"
53,"[397, 398]"
54,"[362, 399]"
55,"[398, 399]"
56,"[432, 397]"
57,"[432, 433]"
58,"[433, 434]"
59,"[435, 398]"
60,"[434, 435]"
61,"[433, 468]"
62,"[468, 469]"
63,"[469, 470]"
64,"[434, 471]"
65,"[470, 471]"
66,"[504, 469]"
67,"[504, 505]"
68,"[505, 506]"
69,"[507, 470]"
70,"[506, 507]"
71,"[505, 540]"
72,"[540, 541]"
73,"[541, 542]"
74,"[506, 543]"
75,"[542, 543]"
76,"[576, 541]"
77,"[576, 577]"
78,"[577, 578]"
79,"[579, 542]"
80,"[578, 579]"
81,"[577, 612]"
82,"[612, 613]"
83,"[613, 614]"
84,"[578, 615]"
85,"[614, 615]"
86,"[613, 70]"
87,"[5, 70]"
88,"[9, 614]"
89,"[9, 4]"
90,"[8, 9]"
91,"[3, 6]"
92,"[8, 7]"
93,"[6, 7]"
94,"[75, 76]"
95,"[10, 6]"
96,"[10, 76]"
97,"[112, 111]"
98,"[76, 77]"
99,"[112, 77]"
100,"[147, 148]"
101,"[112, 113]"
102,"[113, 148]"
103,"[184, 183]"
104,"[148, 149]"
105,"[184, 149]"
106,"[219, 220]"
107,"[184, 185]"
108,"[185, 220]"
109,"[256, 255]"
110,"[220, 221]"
111,"[256, 221]"
112,"[291, 292]"
113,"[256, 257]"
114,"[257, 292]"
115,"[328, 327]"
116,"[292, 293]"
117,"[328, 293]"
118,"[363, 364]"
119,"[328, 329]"
120,"[329, 364]"
121,"[400, 399]"
122,"[364, 365]"
