30,"[0, 27, 86, 101, 102, 103]"
0,"[0, 1, 2, 3, 4, 5]"
31,"[1, 6, 87, 89, 103, 104]"
5,"[2, 23, 26, 27, 28, 29]"
1,"[3, 6, 7, 8, 9, 10]"
6,"[4, 29, 30, 31, 32, 33]"
7,"[5, 9, 31, 34, 35, 36]"
32,"[7, 11, 90, 92, 104, 105]"
2,"[8, 11, 12, 13, 14, 15]"
8,"[10, 14, 34, 37, 38, 39]"
33,"[12, 16, 93, 95, 105, 106]"
3,"[13, 16, 17, 18, 19, 20]"
9,"[15, 19, 37, 40, 41, 42]"
34,"[17, 21, 96, 98, 106, 107]"
4,"[18, 21, 22, 23, 24, 25]"
10,"[20, 24, 40, 43, 44, 45]"
35,"[22, 26, 99, 100, 102, 107]"
11,"[25, 28, 30, 43, 46, 47]"
17,"[32, 47, 48, 61, 64, 65]"
12,"[33, 35, 48, 49, 50, 51]"
13,"[36, 38, 49, 52, 53, 54]"
14,"[39, 41, 52, 55, 56, 57]"
15,"[42, 44, 55, 58, 59, 60]"
16,"[45, 46, 58, 61, 62, 63]"
18,"[50, 65, 66, 67, 68, 69]"
19,"[51, 53, 67, 70, 71, 72]"
20,"[54, 56, 70, 73, 74, 75]"
21,"[57, 59, 73, 76, 77, 78]"
22,"[60, 62, 76, 79, 80, 81]"
23,"[63, 64, 66, 79, 82, 83]"
29,"[68, 83, 84, 97, 100, 101]"
24,"[69, 71, 84, 85, 86, 87]"
25,"[72, 74, 85, 88, 89, 90]"
26,"[75, 77, 88, 91, 92, 93]"
27,"[78, 80, 91, 94, 95, 96]"
28,"[81, 82, 94, 97, 98, 99]"
