0,"(756, 0)"
1,"(757, 0)"
2,"(27, 0)"
3,"(1, 0)"
4,"(28, 0)"
5,"(29, 0)"
6,"(757, 1)"
7,"(758, 1)"
8,"(2, 1)"
9,"(29, 1)"
10,"(30, 1)"
11,"(758, 2)"
12,"(759, 2)"
13,"(3, 2)"
14,"(30, 2)"
15,"(31, 2)"
16,"(759, 3)"
17,"(760, 3)"
18,"(4, 3)"
19,"(31, 3)"
20,"(32, 3)"
21,"(760, 4)"
22,"(761, 4)"
23,"(5, 4)"
24,"(32, 4)"
25,"(33, 4)"
26,"(761, 5)"
27,"(762, 5)"
28,"(6, 5)"
29,"(33, 5)"
30,"(34, 5)"
31,"(762, 6)"
32,"(763, 6)"
33,"(7, 6)"
34,"(34, 6)"
35,"(35, 6)"
36,"(763, 7)"
37,"(764, 7)"
38,"(8, 7)"
39,"(35, 7)"
40,"(36, 7)"
41,"(764, 8)"
42,"(765, 8)"
43,"(9, 8)"
44,"(36, 8)"
45,"(37, 8)"
46,"(765, 9)"
47,"(766, 9)"
48,"(10, 9)"
49,"(37, 9)"
50,"(38, 9)"
51,"(766, 10)"
52,"(767, 10)"
53,"(11, 10)"
54,"(38, 10)"
55,"(39, 10)"
56,"(767, 11)"
57,"(768, 11)"
58,"(12, 11)"
59,"(39, 11)"
60,"(40, 11)"
61,"(768, 12)"
62,"(769, 12)"
63,"(13, 12)"
64,"(40, 12)"
65,"(41, 12)"
66,"(769, 13)"
67,"(770, 13)"
68,"(14, 13)"
69,"(41, 13)"
70,"(42, 13)"
71,"(770, 14)"
72,"(771, 14)"
73,"(15, 14)"
74,"(42, 14)"
75,"(43, 14)"
76,"(771, 15)"
77,"(772, 15)"
78,"(16, 15)"
79,"(43, 15)"
80,"(44, 15)"
81,"(772, 16)"
82,"(773, 16)"
83,"(17, 16)"
84,"(44, 16)"
85,"(45, 16)"
86,"(773, 17)"
87,"(774, 17)"
88,"(18, 17)"
89,"(45, 17)"
90,"(46, 17)"
91,"(774, 18)"
92,"(775, 18)"
93,"(19, 18)"
94,"(46, 18)"
95,"(47, 18)"
96,"(775, 19)"
97,"(776, 19)"
98,"(20, 19)"
99,"(47, 19)"
100,"(48, 19)"
101,"(776, 20)"
102,"(777, 20)"
103,"(21, 20)"
104,"(48, 20)"
105,"(49, 20)"
106,"(777, 21)"
107,"(778, 21)"
108,"(22, 21)"
109,"(49, 21)"
110,"(50, 21)"
111,"(778, 22)"
112,"(779, 22)"
113,"(23, 22)"
114,"(50, 22)"
115,"(51, 22)"
116,"(779, 23)"
117,"(780, 23)"
118,"(24, 23)"
119,"(51, 23)"
120,"(52, 23)"
121,"(780, 24)"
122,"(781, 24)"
123,"(25, 24)"
124,"(52, 24)"
125,"(53, 24)"
126,"(781, 25)"
127,"(782, 25)"
128,"(26, 25)"
129,"(53, 25)"
130,"(54, 25)"
131,"(782, 26)"
132,"(783, 26)"
133,"(27, 26)"
134,"(54, 26)"
135,"(55, 26)"
136,"(783, 27)"
137,"(756, 27)"
138,"(55, 27)"
139,"(28, 27)"
140,"(55, 28)"
141,"(29, 28)"
142,"(83, 28)"
143,"(56, 28)"
144,"(30, 29)"
145,"(56, 29)"
146,"(57, 29)"
147,"(31, 30)"
148,"(57, 30)"
149,"(58, 30)"
150,"(32, 31)"
151,"(58, 31)"
152,"(59, 31)"
153,"(33, 32)"
154,"(59, 32)"
155,"(60, 32)"
156,"(34, 33)"
157,"(60, 33)"
158,"(61, 33)"
159,"(35, 34)"
160,"(61, 34)"
161,"(62, 34)"
162,"(36, 35)"
163,"(62, 35)"
164,"(63, 35)"
165,"(37, 36)"
166,"(63, 36)"
167,"(64, 36)"
168,"(38, 37)"
169,"(64, 37)"
170,"(65, 37)"
171,"(39, 38)"
172,"(65, 38)"
173,"(66, 38)"
174,"(40, 39)"
175,"(66, 39)"
176,"(67, 39)"
177,"(41, 40)"
178,"(67, 40)"
179,"(68, 40)"
180,"(42, 41)"
181,"(68, 41)"
182,"(69, 41)"
183,"(43, 42)"
184,"(69, 42)"
185,"(70, 42)"
186,"(44, 43)"
187,"(70, 43)"
188,"(71, 43)"
189,"(45, 44)"
190,"(71, 44)"
191,"(72, 44)"
192,"(46, 45)"
193,"(72, 45)"
194,"(73, 45)"
195,"(47, 46)"
196,"(73, 46)"
197,"(74, 46)"
198,"(48, 47)"
199,"(74, 47)"
200,"(75, 47)"
201,"(49, 48)"
202,"(75, 48)"
203,"(76, 48)"
204,"(50, 49)"
205,"(76, 49)"
206,"(77, 49)"
207,"(51, 50)"
208,"(77, 50)"
209,"(78, 50)"
210,"(52, 51)"
211,"(78, 51)"
212,"(79, 51)"
213,"(53, 52)"
214,"(79, 52)"
215,"(80, 52)"
216,"(54, 53)"
217,"(80, 53)"
218,"(81, 53)"
219,"(55, 54)"
220,"(81, 54)"
221,"(82, 54)"
222,"(82, 55)"
223,"(83, 55)"
224,"(83, 56)"
225,"(57, 56)"
226,"(84, 56)"
227,"(85, 56)"
228,"(58, 57)"
229,"(85, 57)"
230,"(86, 57)"
231,"(59, 58)"
232,"(86, 58)"
233,"(87, 58)"
234,"(60, 59)"
235,"(87, 59)"
236,"(88, 59)"
237,"(61, 60)"
238,"(88, 60)"
239,"(89, 60)"
240,"(62, 61)"
241,"(89, 61)"
242,"(90, 61)"
243,"(63, 62)"
244,"(90, 62)"
245,"(91, 62)"
246,"(64, 63)"
247,"(91, 63)"
248,"(92, 63)"
249,"(65, 64)"
250,"(92, 64)"
251,"(93, 64)"
252,"(66, 65)"
253,"(93, 65)"
254,"(94, 65)"
255,"(67, 66)"
256,"(94, 66)"
257,"(95, 66)"
258,"(68, 67)"
259,"(95, 67)"
260,"(96, 67)"
261,"(69, 68)"
262,"(96, 68)"
263,"(97, 68)"
264,"(70, 69)"
265,"(97, 69)"
266,"(98, 69)"
267,"(71, 70)"
268,"(98, 70)"
269,"(99, 70)"
270,"(72, 71)"
271,"(99, 71)"
272,"(100, 71)"
273,"(73, 72)"
274,"(100, 72)"
275,"(101, 72)"
276,"(74, 73)"
277,"(101, 73)"
278,"(102, 73)"
279,"(75, 74)"
280,"(102, 74)"
281,"(103, 74)"
282,"(76, 75)"
283,"(103, 75)"
284,"(104, 75)"
285,"(77, 76)"
286,"(104, 76)"
287,"(105, 76)"
288,"(78, 77)"
289,"(105, 77)"
290,"(106, 77)"
291,"(79, 78)"
292,"(106, 78)"
293,"(107, 78)"
294,"(80, 79)"
295,"(107, 79)"
296,"(108, 79)"
297,"(81, 80)"
298,"(108, 80)"
299,"(109, 80)"
300,"(82, 81)"
301,"(109, 81)"
302,"(110, 81)"
303,"(83, 82)"
304,"(110, 82)"
305,"(111, 82)"
306,"(111, 83)"
307,"(84, 83)"
308,"(111, 84)"
309,"(85, 84)"
310,"(139, 84)"
311,"(112, 84)"
312,"(86, 85)"
313,"(112, 85)"
314,"(113, 85)"
315,"(87, 86)"
316,"(113, 86)"
317,"(114, 86)"
318,"(88, 87)"
319,"(114, 87)"
320,"(115, 87)"
321,"(89, 88)"
322,"(115, 88)"
323,"(116, 88)"
324,"(90, 89)"
325,"(116, 89)"
326,"(117, 89)"
327,"(91, 90)"
328,"(117, 90)"
329,"(118, 90)"
330,"(92, 91)"
331,"(118, 91)"
332,"(119, 91)"
333,"(93, 92)"
334,"(119, 92)"
335,"(120, 92)"
336,"(94, 93)"
337,"(120, 93)"
338,"(121, 93)"
339,"(95, 94)"
340,"(121, 94)"
341,"(122, 94)"
342,"(96, 95)"
343,"(122, 95)"
344,"(123, 95)"
345,"(97, 96)"
346,"(123, 96)"
347,"(124, 96)"
348,"(98, 97)"
349,"(124, 97)"
350,"(125, 97)"
351,"(99, 98)"
352,"(125, 98)"
353,"(126, 98)"
354,"(100, 99)"
355,"(126, 99)"
356,"(127, 99)"
357,"(101, 100)"
358,"(127, 100)"
359,"(128, 100)"
360,"(102, 101)"
361,"(128, 101)"
362,"(129, 101)"
363,"(103, 102)"
364,"(129, 102)"
365,"(130, 102)"
366,"(104, 103)"
367,"(130, 103)"
368,"(131, 103)"
369,"(105, 104)"
370,"(131, 104)"
371,"(132, 104)"
372,"(106, 105)"
373,"(132, 105)"
374,"(133, 105)"
375,"(107, 106)"
376,"(133, 106)"
377,"(134, 106)"
378,"(108, 107)"
379,"(134, 107)"
380,"(135, 107)"
381,"(109, 108)"
382,"(135, 108)"
383,"(136, 108)"
384,"(110, 109)"
385,"(136, 109)"
386,"(137, 109)"
387,"(111, 110)"
388,"(137, 110)"
389,"(138, 110)"
390,"(138, 111)"
391,"(139, 111)"
392,"(139, 112)"
393,"(113, 112)"
394,"(140, 112)"
395,"(141, 112)"
396,"(114, 113)"
397,"(141, 113)"
398,"(142, 113)"
399,"(115, 114)"
400,"(142, 114)"
401,"(143, 114)"
402,"(116, 115)"
403,"(143, 115)"
404,"(144, 115)"
405,"(117, 116)"
406,"(144, 116)"
407,"(145, 116)"
408,"(118, 117)"
409,"(145, 117)"
410,"(146, 117)"
411,"(119, 118)"
412,"(146, 118)"
413,"(147, 118)"
414,"(120, 119)"
415,"(147, 119)"
416,"(148, 119)"
417,"(121, 120)"
418,"(148, 120)"
419,"(149, 120)"
420,"(122, 121)"
421,"(149, 121)"
422,"(150, 121)"
423,"(123, 122)"
424,"(150, 122)"
425,"(151, 122)"
426,"(124, 123)"
427,"(151, 123)"
428,"(152, 123)"
429,"(125, 124)"
430,"(152, 124)"
431,"(153, 124)"
432,"(126, 125)"
433,"(153, 125)"
434,"(154, 125)"
435,"(127, 126)"
436,"(154, 126)"
437,"(155, 126)"
438,"(128, 127)"
439,"(155, 127)"
440,"(156, 127)"
441,"(129, 128)"
442,"(156, 128)"
443,"(157, 128)"
444,"(130, 129)"
445,"(157, 129)"
446,"(158, 129)"
447,"(131, 130)"
448,"(158, 130)"
449,"(159, 130)"
450,"(132, 131)"
451,"(159, 131)"
452,"(160, 131)"
453,"(133, 132)"
454,"(160, 132)"
455,"(161, 132)"
456,"(134, 133)"
457,"(161, 133)"
458,"(162, 133)"
459,"(135, 134)"
460,"(162, 134)"
461,"(163, 134)"
462,"(136, 135)"
463,"(163, 135)"
464,"(164, 135)"
465,"(137, 136)"
466,"(164, 136)"
467,"(165, 136)"
468,"(138, 137)"
469,"(165, 137)"
470,"(166, 137)"
471,"(139, 138)"
472,"(166, 138)"
473,"(167, 138)"
474,"(167, 139)"
475,"(140, 139)"
476,"(167, 140)"
477,"(141, 140)"
478,"(195, 140)"
479,"(168, 140)"
480,"(142, 141)"
481,"(168, 141)"
482,"(169, 141)"
483,"(143, 142)"
484,"(169, 142)"
485,"(170, 142)"
486,"(144, 143)"
487,"(170, 143)"
488,"(171, 143)"
489,"(145, 144)"
490,"(171, 144)"
491,"(172, 144)"
492,"(146, 145)"
493,"(172, 145)"
494,"(173, 145)"
495,"(147, 146)"
496,"(173, 146)"
497,"(174, 146)"
498,"(148, 147)"
499,"(174, 147)"
500,"(175, 147)"
501,"(149, 148)"
502,"(175, 148)"
503,"(176, 148)"
504,"(150, 149)"
505,"(176, 149)"
506,"(177, 149)"
507,"(151, 150)"
508,"(177, 150)"
509,"(178, 150)"
510,"(152, 151)"
511,"(178, 151)"
512,"(179, 151)"
513,"(153, 152)"
514,"(179, 152)"
515,"(180, 152)"
516,"(154, 153)"
517,"(180, 153)"
518,"(181, 153)"
519,"(155, 154)"
520,"(181, 154)"
521,"(182, 154)"
522,"(156, 155)"
523,"(182, 155)"
524,"(183, 155)"
525,"(157, 156)"
526,"(183, 156)"
527,"(184, 156)"
528,"(158, 157)"
529,"(184, 157)"
530,"(185, 157)"
531,"(159, 158)"
532,"(185, 158)"
533,"(186, 158)"
534,"(160, 159)"
535,"(186, 159)"
536,"(187, 159)"
537,"(161, 160)"
538,"(187, 160)"
539,"(188, 160)"
540,"(162, 161)"
541,"(188, 161)"
542,"(189, 161)"
543,"(163, 162)"
544,"(189, 162)"
545,"(190, 162)"
546,"(164, 163)"
547,"(190, 163)"
548,"(191, 163)"
549,"(165, 164)"
550,"(191, 164)"
551,"(192, 164)"
552,"(166, 165)"
553,"(192, 165)"
554,"(193, 165)"
555,"(167, 166)"
556,"(193, 166)"
557,"(194, 166)"
558,"(194, 167)"
559,"(195, 167)"
560,"(195, 168)"
561,"(169, 168)"
562,"(196, 168)"
563,"(197, 168)"
564,"(170, 169)"
565,"(197, 169)"
566,"(198, 169)"
567,"(171, 170)"
568,"(198, 170)"
569,"(199, 170)"
570,"(172, 171)"
571,"(199, 171)"
572,"(200, 171)"
573,"(173, 172)"
574,"(200, 172)"
575,"(201, 172)"
576,"(174, 173)"
577,"(201, 173)"
578,"(202, 173)"
579,"(175, 174)"
580,"(202, 174)"
581,"(203, 174)"
582,"(176, 175)"
583,"(203, 175)"
584,"(204, 175)"
585,"(177, 176)"
586,"(204, 176)"
587,"(205, 176)"
588,"(178, 177)"
589,"(205, 177)"
590,"(206, 177)"
591,"(179, 178)"
592,"(206, 178)"
593,"(207, 178)"
594,"(180, 179)"
595,"(207, 179)"
596,"(208, 179)"
597,"(181, 180)"
598,"(208, 180)"
599,"(209, 180)"
600,"(182, 181)"
601,"(209, 181)"
602,"(210, 181)"
603,"(183, 182)"
604,"(210, 182)"
605,"(211, 182)"
606,"(184, 183)"
607,"(211, 183)"
608,"(212, 183)"
609,"(185, 184)"
610,"(212, 184)"
611,"(213, 184)"
612,"(186, 185)"
613,"(213, 185)"
614,"(214, 185)"
615,"(187, 186)"
616,"(214, 186)"
617,"(215, 186)"
618,"(188, 187)"
619,"(215, 187)"
620,"(216, 187)"
621,"(189, 188)"
622,"(216, 188)"
623,"(217, 188)"
624,"(190, 189)"
625,"(217, 189)"
626,"(218, 189)"
627,"(191, 190)"
628,"(218, 190)"
629,"(219, 190)"
630,"(192, 191)"
631,"(219, 191)"
632,"(220, 191)"
633,"(193, 192)"
634,"(220, 192)"
635,"(221, 192)"
636,"(194, 193)"
637,"(221, 193)"
638,"(222, 193)"
639,"(195, 194)"
640,"(222, 194)"
641,"(223, 194)"
642,"(223, 195)"
643,"(196, 195)"
644,"(223, 196)"
645,"(197, 196)"
646,"(251, 196)"
647,"(224, 196)"
